city,state,lat,lng,temp
Mobile,Alabama,31.2,88.5,44
Montgomery,Alabama,32.9,86.8,38
Phoenix,Arizona,33.6,112.5,35
Little Rock,Arkansas,35.4,92.8,31
Los Angeles,California,34.3,118.7,47
San Francisco,California,38.4,123,42
Denver,Colorado,40.7,105.3,15
New Haven,Connecticut,41.7,73.4,22
Wilmington,Delaware,40.5,76.3,26
Washington,DC,39.7,77.5,30
Jacksonville,Florida,31,82.3,45
Key West,Florida,25,82,65
Miami,Florida,26.3,80.7,58
Atlanta,Georgia,33.9,85,37
Boise,Idaho,43.7,117.1,22
Chicago,Illinois,42.3,88,19
Indianapolis,Indiana,39.8,86.9,21
Des Moines,Iowa,41.8,93.6,11
Wichita,Kansas,38.1,97.6,22
Louisville,Kentucky,39,86.5,27
New Orleans,Louisiana,30.8,90.2,45
Portland,Maine,44.2,70.5,12
Baltimore,Maryland,39.7,77.3,25
Boston,Massachusetts,42.7,71.4,23
Detroit,Michigan,43.1,83.9,21
Minneapolis,Minnesota,45.9,93.9,2
St. Louis,Missouri,39.3,90.5,24
Helena,Montana,47.1,112.4,8
Omaha,Nebraska,41.9,96.1,13
Concord,New Hampshire,43.5,71.9,11
Atlantic City,New Jersey,39.8,75.3,27
Albuquerque,New Mexico,35.1,106.7,24
Albany,New York,42.6,73.7,14
New York,New York,40.8,74.6,27
Charlotte,North Carolina,35.9,81.5,34
Raleigh,North Carolina,36.4,78.9,31
Bismarck,North Dakota,47.1,101,0
Cincinnati,Ohio,39.2,85,26
Cleveland,Ohio,42.3,82.5,21
Oklahoma City,Oklahoma,35.9,97.5,28
Portland,Oregon,45.6,123.2,33
Harrisburg,Pennsylvania,40.9,77.8,24
Philadelphia,Pennsylvania,40.9,75.5,24
Charleston,South Carolina,33.3,80.8,38
Nashville,Tennessee,36.7,87.6,31
Amarillo,Texas,35.6,101.9,24
Galveston,Texas,29.4,95.5,49
Houston,Texas,30.1,95.9,44
Salt Lake City,Utah,41.1,112.3,18
Burlington,Vermont,45,73.9,7
Norfolk,Virginia,37,76.6,32
Seattle,Washington,48.1,122.5,33
Spokane,Washington,48.1,117.9,19
Madison,Wisconsin,43.4,90.2,9
Milwaukee,Wisconsin,43.3,88.1,13
Cheyenne,Wyoming,41.2,104.9,14
