Year,Week,Home,HomeScore,Away,AwayScore,Prediction
1998,1,Green_Bay,38,Detroit,19,9.5
1998,1,Chicago,23,Jacksonville,24,-8.5
1998,1,Minnesota,31,Tampa Bay,7,3.5
1998,1,St._Louis,17,New_Orleans,24,3.5
1998,1,Cincinnati,14,Tennessee,23,1.5
1998,1,Baltimore,13,Pittsburgh,20,-3.5
1998,1,Carolina,14,Atlanta,19,4.5
1998,1,NY_Giants,31,Washington,24,2.5
1998,1,Philadelphia,0,Seattle,38,-3.5
1998,1,San_Diego,16,Buffalo,14,1.5
1998,1,San_Francisco,36,NY_Jets,30,7.5
1998,1,Dallas,38,Arizona,10,5.5
1998,1,Indianapolis,15,Miami,24,-3.5
1998,1,Kansas_City,28,Oakland,8,7.5
1998,1,Denver,27,New_England,21,7.5
1998,2,Tennessee,7,San_Diego,13,7.5
1998,2,Green_Bay,23,Tampa Bay,15,7.5
1998,2,New_Orleans,19,Carolina,14,-3.5
1998,2,St._Louis,31,Minnesota,38,-7.5
1998,2,Miami,13,Buffalo,7,7.5
1998,2,Jacksonville,21,Kansas_City,16,1.5
1998,2,NY_Jets,10,Baltimore,24,3.5
1998,2,Pittsburgh,17,Chicago,12,11.5
1998,2,Atlanta,17,Philadelphia,12,8.5
1998,2,Detroit,28,Cincinnati,34,6.5
1998,2,Oakland,20,NY_Giants,17,1.5
1998,2,Seattle,33,Arizona,14,7.5
1998,2,Denver,42,Dallas,23,7.5
1998,2,New_England,29,Indianapolis,0,8.5
1998,2,Washington,10,San_Francisco,45,-4.5
1998,3,Kansas_City,23,San_Diego,7,9.5
1998,3,Minnesota,29,Detroit,6,5.5
1998,3,Buffalo,33,St._Louis,34,4.5
1998,3,Cincinnati,6,Green_Bay,13,-7.5
1998,3,Miami,21,Pittsburgh,0,1.5
1998,3,New_England,27,Tennessee,16,6.5
1998,3,NY_Jets,44,Indianapolis,6,8.5
1998,3,Seattle,24,Washington,14,7.5
1998,3,Oakland,17,Denver,34,-5.5
1998,3,Tampa Bay,27,Chicago,15,7.5
1998,3,Jacksonville,24,Baltimore,10,7.5
1998,3,Arizona,17,Philadelphia,3,4.5
1998,3,NY_Giants,7,Dallas,31,4.5
1998,4,Indianapolis,13,New_Orleans,19,-1.5
1998,4,Tennessee,22,Jacksonville,27,-3.5
1998,4,Dallas,12,Oakland,13,2.5
1998,4,St._Louis,17,Arizona,20,3.5
1998,4,Carolina,30,Green_Bay,37,-7.5
1998,4,Philadelphia,21,Kansas_City,24,-8.5
1998,4,Washington,16,Denver,38,-7.5
1998,4,San_Diego,16,NY_Giants,34,2.5
1998,4,San_Francisco,31,Atlanta,20,10.5
1998,4,Chicago,28,Minnesota,31,-6.5
1998,4,Pittsburgh,13,Seattle,10,3.5
1998,4,Baltimore,31,Cincinnati,24,5.5
1998,4,Detroit,27,Tampa Bay,6,-1.5
1998,5,Indianapolis,17,San_Diego,12,1.5
1998,5,Chicago,32,Detroit,27,1.5
1998,5,New_Orleans,27,New_England,30,-6.5
1998,5,Buffalo,26,San_Francisco,21,-8.5
1998,5,NY_Jets,20,Miami,9,2.5
1998,5,Atlanta,51,Carolina,23,3.5
1998,5,Washington,10,Dallas,31,-2.5
1998,5,Arizona,20,Oakland,23,2.5
1998,5,Denver,41,Philadelphia,16,15.5
1998,5,Tampa Bay,20,NY_Giants,3,3.5
1998,5,Kansas_City,17,Seattle,6,4.5
1998,5,Green_Bay,24,Minnesota,37,7.5
1998,6,Indianapolis,24,Buffalo,31,-2.5
1998,6,Dallas,27,Carolina,20,7.5
1998,6,New_Orleans,0,San_Francisco,31,-9.5
1998,6,Baltimore,8,Tennessee,12,3.5
1998,6,Cincinnati,25,Pittsburgh,20,-2.5
1998,6,New_England,40,Kansas_City,10,2.5
1998,6,Philadelphia,17,Washington,12,-2.5
1998,6,Arizona,20,Chicago,7,3.5
1998,6,Oakland,7,San_Diego,6,4.5
1998,6,Seattle,16,Denver,21,-5.5
1998,6,St._Louis,30,NY_Jets,10,-3.5
1998,6,NY_Giants,20,Atlanta,34,2.5
1998,6,Jacksonville,28,Miami,21,6.5
1998,7,Detroit,27,Green_Bay,20,-6.5
1998,7,Tennessee,44,Cincinnati,14,3.5
